企業名,証券コード,EDINETコード,docID,帳簿価額（元単位）,時価（元単位）,含み益（元単位）,元単位,ソースファイル,注記,帳簿価額_百万円,時価_百万円,含み益_百万円
神田通信機株式会社,1992,E00182,S100W4ST,474061.0,2042915.0,1568854.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E00182-000_2025-03-31_01_2025-06-26_ixbrl.htm,,474.06100000000004,2042.915,1568.854
伏木海陸運送株式会社,9361,E04339,S100WQSP,5755933.0,7283726.0,1527793.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04339-000_2025-06-30_01_2025-09-26_ixbrl.htm,,5755.933,7283.726000000001,1527.7930000000001
綿半ホールディングス株式会社,3199,E31104,S100W85X,2156.0,3674.0,1518.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E31104-000_2025-03-31_01_2025-06-27_ixbrl.htm,,2156.0,3674.0,1518.0
株式会社東京ソワール,8040,E02679,S100VIWE,794322.0,2293500.0,1499178.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02679-000_2024-12-31_01_2025-03-31_ixbrl.htm,,794.322,2293.5,1499.178
日本製罐株式会社,5905,E01408,S100W4WG,542984.0,2040000.0,1497016.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E01408-000_2025-03-31_01_2025-06-25_ixbrl.htm,,542.984,2040.0,1497.016
ＳＥＣカーボン株式会社,5304,E01173,S100W4E5,122.0,1616.0,1494.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E01173-000_2025-03-31_01_2025-06-26_ixbrl.htm,,122.0,1616.0,1494.0
株式会社エリッツホールディングス,5533,E38634,S100XCQ3,1758209.0,3198038.0,1439829.0,千円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E38634-000_2025-09-30_01_2025-12-24_ixbrl.htm,,1758.209,3198.038,1439.829
鈴与シンワート株式会社,9360,E04337,S100W7WR,3010.0,4438.0,1428.0,百万円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E04337-000_2025-03-31_01_2025-06-27_ixbrl.htm,,3010.0,4438.0,1428.0
日本プラスト株式会社,7291,E02216,S100W76E,206.0,1628.0,1422.0,百万円,XBRL/PublicDoc/0105010_honbun_jpcrp030000-asr-001_E02216-000_2025-03-31_01_2025-06-27_ixbrl.htm,,206.0,1628.0,1422.0
Ｚｅｎｋｅｎ株式会社,7371,E24465,S100WQCF,11759981.0,13179154.0,1419173.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E24465-000_2025-06-30_01_2025-09-24_ixbrl.htm,,11759.981,13179.154,1419.173
株式会社ムロコーポレーション,7264,E02234,S100W290,22238378.0,23655968.0,1417590.0,千円,XBRL/PublicDoc/0105100_honbun_jpcrp030000-asr-001_E02234-000_2025-03-31_01_2025-06-24_ixbrl.htm,,22238.378,23655.968,1417.59
